State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Chittor,Kalikiri,Tomato,Hybrid,FAQ,28/10/2025,2000,2800,2400
"Andhra Pradesh",Chittor,Palamaner,Cabbage,Cabbage,FAQ,28/10/2025,700,1100,900
"Andhra Pradesh",Chittor,Palamaner,"Green Chilli","Green Chilly",FAQ,28/10/2025,2000,3000,2500
"Andhra Pradesh",Guntur,Pidugurala(Palnadu),"Dry Chillies","1st Sort",FAQ,28/10/2025,9500,15000,11900
"Andhra Pradesh",Guntur,Tenali,Lemon,Lemon,FAQ,28/10/2025,1000,1600,1300
"Andhra Pradesh",Kurnool,Kurnool,"Arhar (Tur/Red Gram)(Whole)",Local,Non-FAQ,28/10/2025,5250,6750,5250
"Andhra Pradesh",Kurnool,Kurnool,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",Non-FAQ,28/10/2025,2529,6429,6429
"Andhra Pradesh",Kurnool,Kurnool,Groundnut,Local,FAQ,28/10/2025,1007,6869,4989
"Andhra Pradesh",Kurnool,Nandyal,"Bengal Gram(Gram)(Whole)","Desi (Whole)",FAQ,28/10/2025,6375,6375,6375
"Andhra Pradesh",Kurnool,Nandyal,Maize,"Deshi Red",FAQ,28/10/2025,2500,2500,2500
Bihar,Kishanganj,Bahadurganj,Onion,Medium,FAQ,28/10/2025,1800,1900,1850
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cauliflower,Cauliflower,FAQ,28/10/2025,2000,4000,3500
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,28/10/2025,400,2200,1500
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Pumpkin,Other,FAQ,28/10/2025,1000,2000,1600
Chattisgarh,Balodabazar,Kasdol,Paddy(Dhan)(Common),D.B.,Non-FAQ,28/10/2025,2000,2000,2000
Chattisgarh,Balrampur,Kusmee,Paddy(Dhan)(Common),"I.R. 36",FAQ,28/10/2025,2370,2370,2370
Chattisgarh,Balrampur,Ramanujganj,Maize,Local,FAQ,28/10/2025,2410,2410,2410
Chattisgarh,Janjgir,Baradwar,Paddy(Dhan)(Common),D.B.,Non-FAQ,28/10/2025,1700,1700,1700
Chattisgarh,Janjgir,Champa,Paddy(Dhan)(Common),D.B.,Non-FAQ,28/10/2025,1750,1800,1800
Chattisgarh,Kondagaon,Pharasgaon,Maize,Hybrid,Non-FAQ,28/10/2025,1750,1750,1750
Chattisgarh,Koria,Baikunthpur,Wheat,Deshi,FAQ,28/10/2025,2450,2450,2450
Chattisgarh,Raipur,Arang,Soyabean,Soyabeen,Non-FAQ,28/10/2025,4550,4550,4550
Chattisgarh,Rajnandgaon,Gandai,Tomato,Deshi,Non-FAQ,28/10/2025,1200,1600,1400
Chattisgarh,Surguja,Ambikapur,Paddy(Dhan)(Common),"I.R. 36",Non-FAQ,28/10/2025,2325,2325,2325
Goa,"North Goa",Mapusa,Marigold(loose),Marigold(Loose),FAQ,28/10/2025,5000,5000,5000
Goa,"South Goa",Curchorem,Coconut,Big,FAQ,28/10/2025,2700,2700,2700
Gujarat,Ahmedabad,Ahmedabad,"Amla(Nelli Kai)",Other,FAQ,28/10/2025,1000,2000,1750
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,28/10/2025,1500,4000,2500
Gujarat,Ahmedabad,Ahmedabad,Carrot,Other,FAQ,28/10/2025,2000,4000,2500
Gujarat,Ahmedabad,"Ahmedabad(Chimanbhai Patal Market Vasana)",Onion,Nasik,FAQ,28/10/2025,1100,1800,1600
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Banana,Amruthapani,Medium,28/10/2025,1100,1100,1100
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)","Bottle gourd","Bottle Gourd",FAQ,28/10/2025,700,1500,1000
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Cabbage,Other,FAQ,28/10/2025,1200,1500,1300
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)","Green Chilli",Other,FAQ,28/10/2025,1000,3500,2500
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Guar,Other,FAQ,28/10/2025,1500,6000,4500
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Tomato,Other,FAQ,28/10/2025,1200,2000,1600
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)",Brinjal,Other,FAQ,28/10/2025,3000,5100,4050
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)",Cabbage,Other,FAQ,28/10/2025,1300,1850,1575
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)",Ginger(Green),Other,FAQ,28/10/2025,5500,6250,5875
